Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP Code,ZIP Plus4 Code,Station Phone,Status Code,Expected Date,Groups with Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Number,EV Level2 EVSE Number,EV DC Fast Number,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions French,Access Days Time French,BD Blends French,Groups with Access Code French,Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG_TotalCompressionCapacity,CNG_StorageCapacity,LNG_OnSiteRenewableSource,E85 Other Ethanol Blends,EV Pricing,EV Pricing French,LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG_VehicleClass,EV On-Site Renewable Source,Restricted Access,L1,L2,DCFC,L2DCFC,x,y
ELEC,McDonald's,116 5th Ave,,Huntington,WV,25703,,304-522-6280,E,,Public,24 hours daily; for customer use only; see inside for access,,,,,,2,,,Non-Networked,,GPS,38.417603,-82.456866,"11/3/2021, 8:00 PM",37104,2021-11-04 19:44:05 UTC,P,,,"12/14/2010, 7:00 PM",,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,,0,2,0,2,-9179056.335529191,4638588.244264692
ELEC,Passport Nissan - Alexandria,150 S Pickett St,,Alexandria,VA,22304,,703-823-9000,E,,Public - Call ahead,Dealership business hours,,,,,,3,1,,Non-Networked,,200-9,38.809675,-77.122192,"6/8/2020, 8:00 PM",39763,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,3,1,4,-8585203.142301079,4694445.700920105
ELEC,Priority Nissan - Chantilly,14840 Stonecroft Center Ct,,Chantilly,VA,20151,,703-889-3700,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,38.899751,-77.460168,"6/8/2020, 8:00 PM",39764,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,2,1,3,-8622826.458521424,4707321.919501297
ELEC,Colonial Nissan,200 Myers Dr,,Charlottesville,VA,22901,,434-978-3711,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,38.086121,-78.474663,"6/8/2020, 8:00 PM",39765,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,2,1,3,-8735759.525333744,4591598.975542314
ELEC,Brown's Fairfax Nissan,11010 Fairfax Blvd,,Fairfax,VA,22030,,703-591-8009,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,38.85358,-77.324803,"6/8/2020, 8:00 PM",39766,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,0,1,-8607757.69565019,4700719.812565461
ELEC,Sheehy Nissan - Manassas,9010 Liberia Ave,,Manassas,VA,20110,,703-361-5161,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,38.760854,-77.459274,"6/8/2020, 8:00 PM",39769,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,2,1,3,-8622726.938896649,4687473.621927924
ELEC,Brown's Dulles Nissan,45155 Towlern Pl,,Sterling,VA,20166,,703-948-1100,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-9,39.010459,-77.438399,"6/8/2020, 8:00 PM",39773,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,2,3,-8620403.144526346,4723169.845337518
ELEC,Priority Nissan,8525 Leesburg Pike,,Vienna,VA,22182,,703-442-8700,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,38.927033,-77.240836,"6/8/2020, 8:00 PM",39774,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,2,0,2,-8598410.531966748,4711225.058760859
ELEC,Tri-State Nissan,1230 Millwood Pike,,Winchester,VA,22602,,,E,,Public - Call ahead,Dealership business hours; contact 540-667-6800 for more information,,,,,,3,,,Non-Networked,,GPS,39.156514,-78.147297,"6/8/2020, 8:00 PM",39775,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,3,0,3,-8699317.308910713,4744115.721291721
ELEC,Municipal Garage,200 N Holliday St,,Baltimore,MD,21202,,443-573-2800,E,,Public,24 hours daily,,,,,1,2,,,Non-Networked,,200-9,39.291785,-76.610539,"12/8/2021, 7:00 PM",40012,2021-12-09 15:02:43 UTC,LG,,,"8/14/2011, 8:00 PM",,,,,J1772 NEMA520,US,,,,Public,,public,,,FLEET_GARAGE,,,,,,,Free,,,,,,,,,,,1,2,0,2,-8528246.190878224,4763553.870398201
ELEC,Bel Air Nissan,1506 Bel Air Rd,,Bel Air,MD,21014,,410-879-1133,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,39.505659,-76.382317,"6/8/2020, 8:00 PM",40018,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,2,1,3,-8502840.634050397,4794363.895827226
ELEC,Community College of Baltimore County (CCBC),800 S Rolling Rd,Lot 8,Catonsville,MD,21228,,443-840-2222,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,39.256947,-76.730918,"9/9/2021, 8:00 PM",40020,2021-09-10 19:40:26 UTC,P,,,"9/8/2019, 8:00 PM",,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,,0,2,0,2,-8541646.719860427,4758544.1419339925
ELEC,Younger Nissan,7418 Grove Rd,,Frederick,MD,21704,,301-662-0111,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,39.391175,-77.407835,"6/8/2020, 8:00 PM",40025,2021-03-11 23:22:17 UTC,P,,,"6/25/2018, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,1,2,-8617000.775609737,4777859.937936276
ELEC,Criswell Nissan,19574 Amaranth Dr,,Germantown,MD,20874,,301-670-3900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.177414,-77.249773,"6/8/2020, 8:00 PM",40026,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,0,1,-8599405.39425597,4747116.561019614
ELEC,Passport Nissan - Marlow Heights,5000 Auth Way,,Suitland,MD,20746,,,E,,Public - Call ahead,Dealership business hours; contact 301-423-8400 for more information,,,,,,1,1,,Non-Networked,,200-9,38.82681,-76.923233,"6/8/2020, 8:00 PM",40029,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,1,2,-8563055.127732335,4696893.866024174
ELEC,Darcars Nissan,15911 Indianola Dr,,Rockville,MD,20855,,301-309-2200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,39.113757,-77.161016,"6/8/2020, 8:00 PM",40030,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,1,2,-8589525.010211632,4737979.410639375
ELEC,Herb Gordon Nissan,3131 Automobile Blvd,,Silver Spring,MD,20904,,301-890-8200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,39.077447,-76.947933,"6/8/2020, 8:00 PM",40033,2021-03-11 23:22:17 UTC,P,,,"3/14/2011, 8:00 PM",,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,0,1,1,2,-8565804.719154928,4732771.27010224
